Amy SOWASH,SHUSAW1410198401,USA,10.6,10.8,10.6,10.6,10.1,10.6,10.8,10.6,10.6,10.1,10.4,10.8,10.2,10.4,10.7,10.4,10.8,10.2,10.4,10.7,10.7,10.7,10.7,10.5,9.8,10.7,10.7,10.7,10.5,9.8,10.7,10.4,10.7,10.2,9.7,10.7,10.4,10.7,10.2,9.7
Adela SYKOROVA,SHCZEW0502198701,CZE,10.0,9.6,10.5,10.2,10.8,10.0,9.6,10.5,10.2,10.8,10.8,10.8,10.5,10.6,10.9,10.8,10.8,10.5,10.6,10.9,10.5,10.7,10.7,10.0,10.2,10.5,10.7,10.7,10.0,10.2,10.5,10.2,10.5,10.1,10.3,10.5,10.2,10.5,10.1,10.3
Carole CALMES,SHLUXW1009197801,LUX,10.4,9.5,9.4,10.5,10.1,10.4,9.5,9.4,10.5,10.1,9.6,10.6,10.0,10.8,9.9,9.6,10.6,10.0,10.8,9.9,10.2,10.2,10.1,9.8,10.0,10.2,10.2,10.1,9.8,10.0,10.6,10.3,10.9,9.3,10.8,10.6,10.3,10.9,9.3,10.8
Elizabeth GRATZ,SHUSAW1601199601,USA,10.7,9.3,10.5,10.1,10.2,10.7,9.3,10.5,10.1,10.2,10.2,10.4,10.2,9.7,10.8,10.2,10.4,10.2,9.7,10.8,10.5,10.7,9.9,10.4,10.0,10.5,10.7,9.9,10.4,10.0,9.8,10.5,9.9,10.5,10.4,9.8,10.5,9.9,10.5,10.4
Melissa MIKEC,SHESAW0308198701,ESA,10.3,10.1,10.1,10.0,10.1,10.3,10.1,10.1,10.0,10.1,10.3,10.4,10.9,10.4,10.1,10.3,10.4,10.9,10.4,10.1,10.3,10.4,9.6,10.4,9.9,10.3,10.4,9.6,10.4,9.9,10.7,10.2,10.1,10.3,10.2,10.7,10.2,10.1,10.3,10.2
Nikola MAZUROVA,SHCZEW2211199401,CZE,10.4,10.5,10.2,10.5,10.5,10.4,10.5,10.2,10.5,10.5,10.4,10.6,9.6,10.1,10.1,10.4,10.6,9.6,10.1,10.1,10.4,10.4,10.7,10.7,10.4,10.4,10.4,10.7,10.7,10.4,9.7,10.8,10.5,10.4,10.6,9.7,10.8,10.5,10.4,10.6
Sonja PFEILSCHIFTER,SHGERW2901197101,GER,10.3,10.8,10.4,10.7,10.6,10.3,10.8,10.4,10.7,10.6,10.3,10.3,10.7,10.0,10.6,10.3,10.3,10.7,10.0,10.6,10.3,10.6,10.9,10.7,10.5,10.3,10.6,10.9,10.7,10.5,10.7,10.4,10.5,10.0,10.7,10.7,10.4,10.5,10.0,10.7
Nandinzaya GANKHUYAG,SHMGLW2706199401,MGL,10.5,10.7,10.7,10.4,10.3,10.5,10.7,10.7,10.4,10.3,10.6,10.6,10.6,10.6,9.9,10.6,10.6,10.6,10.6,9.9,10.2,9.7,10.2,10.0,10.5,10.2,9.7,10.2,10.0,10.5,9.7,10.5,10.8,10.6,10.6,9.7,10.5,10.8,10.6,10.6
Aseel ABDULGHAFFAR,SHBRNW1311198801,BRN,10.6,9.8,8.3,10.3,10.7,10.6,9.8,8.3,10.3,10.7,8.5,9.4,10.5,10.5,10.7,8.5,9.4,10.5,10.5,10.7,10.5,9.9,10.2,10.6,10.4,10.5,9.9,10.2,10.6,10.4,10.1,9.7,10.4,10.7,10.5,10.1,9.7,10.4,10.7,10.5
Pooja GHATKAR,SHINDW1701198901,IND,10.4,10.5,10.6,10.4,10.8,10.4,10.5,10.6,10.4,10.8,10.4,10.2,10.1,10.9,9.7,10.4,10.2,10.1,10.9,9.7,10.4,10.1,10.0,10.2,10.5,10.4,10.1,10.0,10.2,10.5,10.5,10.6,9.6,10.1,10.4,10.5,10.6,9.6,10.1,10.4
